type;n;comps;swaps;time
dualselect;100;4413.0;1999.0;0.11503045999999995
dualsort;100;4950.0;150.0;0.06558444
dualselect;200;11192.0;5064.0;0.08785372000000001
dualsort;200;19900.0;300.0;0.0170019
dualselect;300;18687.0;8174.0;0.13359220000000002
dualsort;300;44850.0;450.0;0.03389168000000001
dualselect;400;27025.0;12089.0;0.1926888
dualsort;400;79800.0;600.0;0.056167760000000004
dualselect;500;35790.0;15774.0;0.3171315599999999
dualsort;500;124750.0;750.0;0.08130992000000001
dualselect;600;45211.0;19983.0;0.36702650000000003
dualsort;600;179700.0;900.0;0.10779125999999999
dualselect;700;52953.0;23138.0;0.50986734
dualsort;700;244650.0;1050.0;0.13297448000000003
dualselect;800;62032.0;27140.0;1.2752532200000006
dualsort;800;319600.0;1200.0;0.17985855999999997
dualselect;900;72761.0;31552.0;0.7700850200000001
dualsort;900;404550.0;1350.0;0.23413344000000005
dualselect;1000;83732.0;36562.0;0.4805948399999999
dualsort;1000;499500.0;1500.0;0.27720220000000007
dualselect;1100;91712.0;39735.0;0.5432566799999998
dualsort;1100;604450.0;1650.0;0.32632039999999995
dualselect;1200;103870.0;45798.0;0.45869682000000006
dualsort;1200;719400.0;1800.0;0.40029458000000007
dualselect;1300;113325.0;49591.0;0.45399246
dualsort;1300;844350.0;1950.0;0.4487240199999998
dualselect;1400;125440.0;54470.0;0.5880449400000001
dualsort;1400;979300.0;2100.0;0.5238134599999996
dualselect;1500;135902.0;59302.0;0.6496229800000001
dualsort;1500;1124250.0;2250.0;0.60732296
dualselect;1600;147190.0;64162.0;0.7019694799999999
dualsort;1600;1279200.0;2400.0;0.6912692600000001
dualselect;1700;157856.0;68471.0;0.7491505400000001
dualsort;1700;1444150.0;2550.0;0.77277862
dualselect;1800;171091.0;74852.0;0.7725364199999997
dualsort;1800;1619100.0;2700.0;0.8395163000000001
dualselect;1900;177645.0;77749.0;0.78424938
dualsort;1900;1804050.0;2850.0;0.9156254999999999
dualselect;2000;186494.0;81376.0;0.8241787199999999
dualsort;2000;1999000.0;3000.0;1.02576608
dualselect;2100;198213.0;86356.0;0.75190932
dualsort;2100;2203950.0;3150.0;1.11667764
dualselect;2200;209245.0;91110.0;0.8132629999999997
dualsort;2200;2418900.0;3300.0;1.2261395800000001
dualselect;2300;221031.0;95247.0;0.8380826600000002
dualsort;2300;2643850.0;3450.0;1.32974806
dualselect;2400;233286.0;101351.0;0.8866586000000001
dualsort;2400;2878800.0;3600.0;1.4453189600000003
dualselect;2500;242112.0;104680.0;0.9115885400000002
dualsort;2500;3123750.0;3750.0;1.5661611000000002
dualselect;2600;256618.0;110437.0;0.9739871600000001
dualsort;2600;3378700.0;3900.0;1.698987199999999
dualselect;2700;270903.0;117064.0;1.0817974799999996
dualsort;2700;3643650.0;4050.0;1.8241921599999993
dualselect;2800;284965.0;122901.0;1.2064097800000002
dualsort;2800;3918600.0;4200.0;1.9624684000000001
dualselect;2900;296076.0;127237.0;1.25769294
dualsort;2900;4203550.0;4350.0;2.11698824
dualselect;3000;311380.0;135187.0;1.3104497000000002
dualsort;3000;4498500.0;4500.0;2.25955388
dualselect;3100;320454.0;138124.0;1.35665156
dualsort;3100;4803450.0;4650.0;2.4173418
dualselect;3200;329356.0;142059.0;1.2865792200000001
dualsort;3200;5118400.0;4800.0;2.5710396600000003
dualselect;3300;342060.0;148129.0;1.2726275999999999
dualsort;3300;5443350.0;4950.0;2.7150720600000007
dualselect;3400;351518.0;153451.0;1.3006131000000003
dualsort;3400;5778300.0;5100.0;2.8872486800000003
dualselect;3500;363917.0;157819.0;1.3486442800000003
dualsort;3500;6123250.0;5250.0;3.061319919999999
dualselect;3600;381260.0;167009.0;1.4921447600000002
dualsort;3600;6478200.0;5400.0;3.3519913000000003
dualselect;3700;392793.0;171219.0;1.4829045399999998
dualsort;3700;6843150.0;5550.0;3.442966479999999
dualselect;3800;406560.0;176396.0;1.5127701199999999
dualsort;3800;7218100.0;5700.0;3.61498218
dualselect;3900;419711.0;182788.0;1.5629988200000005
dualsort;3900;7603050.0;5850.0;3.7974435599999996
dualselect;4000;432769.0;188294.0;1.6531920400000006
dualsort;4000;7998000.0;6000.0;3.9915498400000002
dualselect;4100;442458.0;190583.0;1.6373254599999998
dualsort;4100;8402950.0;6150.0;4.1885319
dualselect;4200;459185.0;199022.0;1.70726178
dualsort;4200;8817900.0;6300.0;4.397086039999999
dualselect;4300;469375.0;202889.0;1.7445904800000003
dualsort;4300;9242850.0;6450.0;4.609823639999999
dualselect;4400;481918.0;208122.0;1.7881541399999998
dualsort;4400;9677800.0;6600.0;4.831307720000001
dualselect;4500;498149.0;217058.0;1.85006174
dualsort;4500;1.012275E7;6750.0;5.055210880000001
dualselect;4600;509740.0;220700.0;1.8910690799999998
dualsort;4600;1.05777E7;6900.0;5.300337580000001
dualselect;4700;517187.0;222493.0;1.9446502
dualsort;4700;1.104265E7;7050.0;5.5314387599999995
dualselect;4800;537822.0;233500.0;1.83970436
dualsort;4800;1.15176E7;7200.0;5.323655260000001
dualselect;4900;548856.0;237776.0;1.6183904600000003
dualsort;4900;1.200255E7;7350.0;4.78030066
dualselect;5000;563957.0;244614.0;1.4453333599999996
dualsort;5000;1.24975E7;7500.0;4.331723599999998
dualselect;5100;576317.0;249695.0;1.3947042799999994
dualsort;5100;1.300245E7;7650.0;4.247543140000001
dualselect;5200;586156.0;254985.0;1.4142983999999998
dualsort;5200;1.35174E7;7800.0;4.41506508
dualselect;5300;599893.0;258888.0;1.49546866
dualsort;5300;1.404235E7;7950.0;4.582943360000001
dualselect;5400;617894.0;269819.0;1.4948871400000001
dualsort;5400;1.45773E7;8100.0;4.755081360000001
dualselect;5500;627687.0;271836.0;1.5271302999999998
dualsort;5500;1.512225E7;8250.0;4.96746402
dualselect;5600;633264.0;274039.0;1.5264409399999999
dualsort;5600;1.56772E7;8400.0;5.123918739999999
dualselect;5700;645601.0;281988.0;1.5595043999999998
dualsort;5700;1.624215E7;8550.0;5.316106759999999
dualselect;5800;656692.0;286342.0;1.6177820199999997
dualsort;5800;1.68171E7;8700.0;5.4848000799999985
dualselect;5900;666642.0;288256.0;1.5865377
dualsort;5900;1.740205E7;8850.0;5.676007479999999
dualselect;6000;680387.0;297177.0;1.61474744
dualsort;6000;1.7997E7;9000.0;5.86684084
dualselect;6100;684585.0;298246.0;1.6141340400000004
dualsort;6100;1.860195E7;9150.0;6.106421800000001
dualselect;6200;699567.0;302839.0;1.6622795200000002
dualsort;6200;1.92169E7;9300.0;6.321083339999998
dualselect;6300;722667.0;313585.0;1.7765307800000003
dualsort;6300;1.984185E7;9450.0;6.52155018
dualselect;6400;731670.0;316452.0;1.7431770400000002
dualsort;6400;2.04768E7;9600.0;6.738021860000001
dualselect;6500;739000.0;318809.0;1.7678935799999997
dualsort;6500;2.112175E7;9750.0;6.960244779999998
dualselect;6600;761363.0;330787.0;1.8239421999999994
dualsort;6600;2.17767E7;9900.0;7.1432730399999995
dualselect;6700;772247.0;333992.0;1.8452147399999999
dualsort;6700;2.244165E7;10050.0;7.360573499999998
dualselect;6800;786048.0;338694.0;1.8841606399999995
dualsort;6800;2.31166E7;10200.0;7.60445018
dualselect;6900;802386.0;347359.0;1.9252421000000004
dualsort;6900;2.380155E7;10350.0;7.829001479999997
dualselect;7000;812149.0;351858.0;1.9455730999999998
dualsort;7000;2.44965E7;10500.0;8.062295140000002
dualselect;7100;821433.0;352882.0;1.9538559199999996
dualsort;7100;2.520145E7;10650.0;8.285246780000001
dualselect;7200;841315.0;366519.0;2.06244558
dualsort;7200;2.59164E7;10800.0;8.5418291
dualselect;7300;848378.0;365627.0;2.028230780000001
dualsort;7300;2.664135E7;10950.0;8.770696300000004
dualselect;7400;856393.0;369740.0;2.0276705800000006
dualsort;7400;2.73763E7;11100.0;9.00953542
dualselect;7500;878018.0;381240.0;2.09266516
dualsort;7500;2.812125E7;11250.0;9.24854756
dualselect;7600;891599.0;385602.0;2.1814306400000008
dualsort;7600;2.88762E7;11400.0;9.496862980000001
dualselect;7700;902376.0;387484.0;2.14668834
dualsort;7700;2.964115E7;11550.0;9.758757860000001
dualselect;7800;930397.0;401106.0;2.22974636
dualsort;7800;3.04161E7;11700.0;10.050411840000002
dualselect;7900;938680.0;403247.0;2.23823486
dualsort;7900;3.120105E7;11850.0;10.280975559999996
dualselect;8000;958631.0;412192.0;2.33705386
dualsort;8000;3.1996E7;12000.0;10.550704039999998
dualselect;8100;976582.0;423092.0;2.36132542
dualsort;8100;3.280095E7;12150.0;10.968942840000002
dualselect;8200;984382.0;423700.0;2.3465115599999997
dualsort;8200;3.36159E7;12300.0;11.09147628
dualselect;8300;1001835.0;428337.0;2.377649039999999
dualsort;8300;3.444085E7;12450.0;11.334193379999999
dualselect;8400;1025178.0;442389.0;2.5117315600000003
dualsort;8400;3.52758E7;12600.0;11.753948480000002
dualselect;8500;1034701.0;445071.0;2.5009273399999996
dualsort;8500;3.612075E7;12750.0;11.956782400000002
dualselect;8600;1048968.0;450199.0;2.4914179400000003
dualsort;8600;3.69757E7;12900.0;12.137631400000002
dualselect;8700;1062691.0;457419.0;2.5736655199999996
dualsort;8700;3.784065E7;13050.0;12.456753640000002
dualselect;8800;1070562.0;461629.0;2.5475691400000002
dualsort;8800;3.87156E7;13200.0;12.755836759999998
dualselect;8900;1087875.0;467439.0;2.5809030799999992
dualsort;8900;3.960055E7;13350.0;13.045513259999998
dualselect;9000;1116352.0;485413.0;2.69638712
dualsort;9000;4.04955E7;13500.0;13.418776020000001
dualselect;9100;1122537.0;482877.0;2.6525750599999993
dualsort;9100;4.140045E7;13650.0;13.669198480000004
dualselect;9200;1131058.0;486847.0;2.6719710600000015
dualsort;9200;4.23154E7;13800.0;13.93275198
dualselect;9300;1148172.0;496560.0;2.7688302200000003
dualsort;9300;4.324035E7;13950.0;14.237056280000001
dualselect;9400;1161455.0;503847.0;2.75976824
dualsort;9400;4.41753E7;14100.0;14.494723300000002
dualselect;9500;1166903.0;500849.0;2.74546382
dualsort;9500;4.512025E7;14250.0;14.791432379999998
dualselect;9600;1185988.0;512346.0;2.8335277400000005
dualsort;9600;4.60752E7;14400.0;15.128607299999993
dualselect;9700;1183653.0;509312.0;2.7845754200000004
dualsort;9700;4.704015E7;14550.0;15.418283200000001
dualselect;9800;1209634.0;521305.0;2.858259900000001
dualsort;9800;4.80151E7;14700.0;15.758072239999997
dualselect;9900;1225308.0;530786.0;2.92369054
dualsort;9900;4.900005E7;14850.0;16.13681138
dualselect;10000;1236604.0;535773.0;2.9014324000000005
dualsort;10000;4.9995E7;15000.0;16.38541906
